iso_a3,mean_gap,sem_gap,pixel_count,physical_area_km2
AFG,0.16572684049606323,0.0014748387038707733,19576.0,481885.1875
GBR,0.3485605716705322,0.0017475626664236188,9405.0,231514.625
ALB,0.2917455732822418,0.005856270436197519,1148.0,28259.306640625
DZA,0.13866202533245087,0.0015553465345874429,10704.0,263490.9375
USA,0.17241334915161133,0.0003673667961265892,249700.0,6146645.5
ATA,,,,
ATG,0.3002929389476776,0.06542820483446121,15.0,369.2418212890625
ARG,0.1294761747121811,0.0006522689363919199,53403.0,1314574.75
AND,0.14275582134723663,0.03033357299864292,20.0,492.3224182128906
AGO,0.07321981340646744,0.0008550225174985826,27453.0,675786.375
ARM,0.1897028684616089,0.00597430719062686,1169.0,28776.24609375
NLD,0.16439636051654816,0.0033555005211383104,1434.0,35299.51953125
AUS,0.09444645047187805,0.0005141728324815631,64091.0,1577672.0
AUT,0.15894950926303864,0.0022677164524793625,3283.0,80814.7265625
AZE,0.17347000539302826,0.0029450070578604937,3391.0,83473.2734375
BHS,0.02367280423641205,0.0023298931773751974,188.0,4627.8310546875
BRB,0.28448477387428284,0.04689586162567139,13.0,320.00958251953125
BLR,0.09602630138397217,0.0009698872454464436,8195.0,201729.125
BEL,0.16074557602405548,0.00310511770658195,1234.0,30376.29296875
BLZ,0.033079445362091064,0.0027288913261145353,554.0,13637.3310546875
BTN,0.061294782906770706,0.003060369985178113,832.0,20480.61328125
BOL,0.15926554799079895,0.0014228489017114043,19723.0,485503.75
BIH,0.14950686693191528,0.004554489627480507,2003.0,49306.08984375
BWA,0.09963229298591614,0.0014781401259824634,9768.0,240450.28125
NOR,0.025777796283364296,0.0006943722837604582,6545.0,161112.515625
COL,0.18091213703155518,0.0014071461046114564,21860.0,538108.375
COM,0.1590258628129959,0.030186237767338753,34.0,836.9481811523438
BRA,0.18414349853992462,0.0003652632294688374,228191.0,5617177.5
FRA,0.27370116114616394,0.0009694203617982566,23147.0,569789.375
COD,0.1519804149866104,0.0009692905587144196,50478.0,1242572.625
COG,0.17160232365131378,0.0023014715407043695,7521.0,185137.859375
NZL,0.2709231674671173,0.0032640723511576653,8706.0,214307.953125
BRN,0.07479031383991241,0.010315720923244953,111.0,2732.39013671875
BGR,0.15109331905841827,0.001724748988635838,4268.0,105061.609375
BFA,0.1414056271314621,0.0019603378605097532,10112.0,248918.21875
BDI,0.3813180923461914,0.006679795682430267,1042.0,25649.998046875
CPV,0.0,0.0,79.0,1944.67333984375
KHM,0.09812235087156296,0.001555920229293406,5989.0,147425.953125
CMR,0.12250927090644836,0.0020941586699336767,9380.0,230899.21875
CAN,0.15668880939483643,0.0006582792266272008,60247.0,1483047.5
CRI,0.03478779271245003,0.0018757274374365807,1711.0,42118.18359375
